1,6,男,深圳,奔驰EQC,150,蓝色
2,10,女,深圳,大众朗逸,23,黑色
3,10,女,深圳,宝马X1,95,黑色
4,4,女,天津,宝马X1,95,蓝色
5,11,男,天津,奥迪A6L,87,黑色
6,1,女,广州,宝马3系,96,黑色
7,3,男,上海,宝马X1,95,灰色
8,7,男,天津,奔驰EQC,150,黑色
9,6,男,广州,奔驰EQC,150,蓝色
10,3,女,深圳,宝马X1,95,黑色
11,1,男,北京,宝马3系,96,红色
12,7,女,广州,宝马3系,96,灰色
13,12,男,深圳,宝马X1,95,红色
14,4,男,深圳,宝马3系,96,蓝色
15,9,女,北京,奔驰EQC,150,蓝色
16,12,女,天津,大众朗逸,23,黑色
17,7,男,天津,大众朗逸,23,蓝色
18,6,男,上海,大众朗逸,23,灰色
19,4,男,广州,奥迪A6L,87,红色
20,3,男,深圳,宝马X1,95,蓝色
21,6,男,广州,宝马X1,95,灰色
22,2,女,天津,奥迪A6L,87,蓝色
23,2,男,杭州,奥迪Q2L,65,黑色
24,6,男,深圳,奥迪Q2L,65,灰色
25,9,男,北京,奔驰EQC,150,蓝色
26,7,男,广州,大众朗逸,23,黑色
27,7,男,广州,奥迪Q2L,65,灰色
28,12,男,上海,宝马3系,96,蓝色
29,4,女,杭州,大众朗逸,23,黑色
30,5,男,上海,奥迪Q2L,65,蓝色
31,9,女,天津,奔驰EQC,150,灰色
32,3,男,广州,奥迪Q2L,65,黑色
33,8,女,北京,奥迪A6L,87,灰色
34,10,女,杭州,奥迪Q2L,65,灰色
35,9,女,杭州,奥迪A6L,87,黑色
36,4,女,北京,宝马3系,96,蓝色
37,11,女,深圳,大众朗逸,23,黑色
38,1,男,杭州,宝马X1,95,黑色
39,10,女,深圳,奔驰EQC,150,黑色
40,3,男,深圳,宝马X1,95,黑色
41,10,女,广州,宝马3系,96,红色
42,8,女,天津,奔驰EQC,150,红色
43,12,女,北京,大众朗逸,23,蓝色
44,6,男,天津,宝马X1,95,灰色
45,2,女,深圳,奥迪A6L,87,黑色
46,5,女,北京,奥迪A6L,87,灰色
47,7,男,上海,大众朗逸,23,红色
48,10,男,北京,奥迪Q2L,65,黑色
49,7,女,天津,奔驰EQC,150,黑色
50,11,女,天津,宝马3系,96,黑色
51,10,男,天津,奥迪A6L,87,灰色
52,6,男,天津,奥迪Q2L,65,蓝色
53,10,男,北京,宝马3系,96,红色
54,11,男,杭州,宝马X1,95,黑色
55,8,女,深圳,大众朗逸,23,蓝色
56,1,男,广州,宝马X1,95,红色
57,3,男,广州,奔驰EQC,150,黑色
58,4,女,上海,奔驰EQC,150,蓝色
59,5,男,天津,奥迪Q2L,65,灰色
60,9,男,上海,奥迪A6L,87,红色
61,4,女,北京,奔驰EQC,150,红色
62,5,男,杭州,奥迪Q2L,65,红色
63,1,男,上海,奥迪A6L,87,蓝色
64,7,女,上海,奥迪A6L,87,灰色
65,8,女,天津,宝马3系,96,灰色
66,8,男,广州,宝马X1,95,蓝色
67,4,女,广州,宝马3系,96,灰色
68,5,男,天津,宝马3系,96,黑色
69,10,女,天津,奥迪A6L,87,灰色
70,8,男,深圳,宝马X1,95,红色
71,9,女,深圳,奥迪Q2L,65,黑色
72,7,男,深圳,奥迪A6L,87,蓝色
73,8,女,上海,宝马X1,95,黑色
74,5,女,深圳,奔驰EQC,150,黑色
75,1,女,深圳,大众朗逸,23,红色
76,6,女,广州,宝马3系,96,灰色
77,5,女,杭州,奔驰EQC,150,蓝色
78,9,男,天津,奔驰EQC,150,黑色
79,11,女,天津,宝马X1,95,黑色
80,12,男,天津,宝马3系,96,红色
81,12,男,上海,奔驰EQC,150,红色
82,2,男,广州,奔驰EQC,150,蓝色
83,5,男,上海,奔驰EQC,150,蓝色
84,2,女,上海,奥迪Q2L,65,红色
85,1,女,上海,奥迪Q2L,65,红色
86,5,女,北京,宝马3系,96,灰色
87,12,男,上海,宝马X1,95,灰色
88,5,女,深圳,宝马X1,95,蓝色
89,3,男,广州,大众朗逸,23,蓝色
90,1,男,杭州,大众朗逸,23,黑色
91,3,男,杭州,宝马3系,96,蓝色
92,11,男,北京,奔驰EQC,150,蓝色
93,1,男,深圳,奥迪Q2L,65,蓝色
94,11,男,上海,奥迪Q2L,65,蓝色
95,2,女,北京,奔驰EQC,150,蓝色
96,4,男,上海,大众朗逸,23,红色
97,3,女,杭州,奔驰EQC,150,灰色
98,1,男,深圳,大众朗逸,23,黑色
99,6,女,广州,大众朗逸,23,灰色
100,9,男,广州,宝马3系,96,蓝色
101,9,女,北京,奥迪Q2L,65,灰色
102,2,男,上海,大众朗逸,23,灰色
103,8,男,广州,奔驰EQC,150,黑色
104,9,女,天津,宝马X1,95,红色
105,8,男,杭州,奔驰EQC,150,灰色
106,6,男,上海,大众朗逸,23,红色
107,2,女,上海,宝马3系,96,红色
108,3,女,天津,宝马X1,95,红色
109,12,男,深圳,大众朗逸,23,黑色
110,10,男,杭州,大众朗逸,23,灰色
111,4,男,深圳,宝马X1,95,蓝色
112,3,男,天津,奥迪A6L,87,红色
113,4,女,深圳,奥迪A6L,87,蓝色
114,7,男,天津,宝马3系,96,蓝色
115,8,女,北京,奥迪Q2L,65,黑色
116,7,女,杭州,宝马3系,96,黑色
117,7,男,上海,宝马X1,95,灰色
118,6,女,上海,大众朗逸,23,蓝色
119,7,女,杭州,奥迪Q2L,65,红色
120,1,男,广州,奔驰EQC,150,灰色
121,6,女,深圳,大众朗逸,23,黑色
122,4,男,杭州,大众朗逸,23,黑色
123,10,女,天津,奥迪A6L,87,黑色
124,9,女,深圳,奔驰EQC,150,灰色
125,8,女,上海,奥迪Q2L,65,灰色
126,5,女,天津,宝马3系,96,灰色
127,11,女,天津,宝马3系,96,灰色
128,4,男,天津,宝马3系,96,灰色
129,10,女,杭州,奥迪Q2L,65,蓝色
130,2,女,广州,宝马X1,95,黑色
131,9,女,深圳,奥迪A6L,87,红色
132,5,男,上海,宝马3系,96,蓝色
133,3,男,上海,奔驰EQC,150,黑色
134,8,女,上海,奥迪A6L,87,黑色
135,7,女,广州,宝马3系,96,红色
136,1,男,北京,奥迪Q2L,65,红色
137,2,男,天津,奥迪A6L,87,灰色
138,6,男,广州,宝马X1,95,红色
139,7,男,上海,奥迪Q2L,65,蓝色
140,4,女,天津,奥迪A6L,87,黑色
141,6,男,广州,宝马3系,96,红色
142,1,男,深圳,奥迪Q2L,65,灰色
143,11,女,深圳,宝马3系,96,灰色
144,5,男,天津,大众朗逸,23,灰色
145,1,女,北京,奔驰EQC,150,黑色
146,7,女,深圳,大众朗逸,23,灰色
147,8,女,广州,大众朗逸,23,蓝色
148,1,女,天津,奥迪A6L,87,灰色
149,4,女,北京,奥迪Q2L,65,蓝色
150,1,男,上海,奥迪A6L,87,蓝色
151,6,女,广州,奥迪A6L,87,红色
152,4,女,深圳,大众朗逸,23,蓝色
153,9,女,上海,奥迪A6L,87,灰色
154,12,女,深圳,奥迪Q2L,65,蓝色
155,8,女,杭州,奥迪Q2L,65,蓝色
156,6,男,深圳,奥迪A6L,87,蓝色
157,10,男,上海,奥迪A6L,87,黑色
158,10,女,天津,大众朗逸,23,黑色
159,2,男,上海,宝马3系,96,红色
160,1,女,北京,大众朗逸,23,红色
161,7,女,杭州,大众朗逸,23,黑色
162,5,男,杭州,奥迪A6L,87,黑色
163,6,女,北京,宝马X1,95,灰色
164,4,男,北京,奥迪A6L,87,黑色
165,2,女,深圳,奥迪Q2L,65,蓝色
166,3,男,广州,宝马3系,96,红色
167,9,男,广州,宝马X1,95,黑色
168,11,男,北京,奥迪A6L,87,黑色
169,3,男,杭州,奥迪Q2L,65,灰色
170,1,男,上海,奔驰EQC,150,黑色
171,9,男,北京,宝马3系,96,灰色
172,1,男,北京,宝马3系,96,红色
173,5,女,天津,奔驰EQC,150,红色
174,5,女,天津,大众朗逸,23,灰色
175,10,女,北京,宝马X1,95,灰色
176,7,男,天津,大众朗逸,23,红色
177,2,男,北京,奔驰EQC,150,红色
178,4,女,天津,奔驰EQC,150,红色
179,6,女,北京,奔驰EQC,150,红色
180,7,女,杭州,大众朗逸,23,蓝色
181,1,女,天津,宝马X1,95,黑色
182,7,女,杭州,奥迪Q2L,65,灰色
183,2,女,天津,奥迪A6L,87,黑色
184,11,女,广州,奔驰EQC,150,蓝色
185,1,男,广州,奔驰EQC,150,黑色
186,10,女,天津,奥迪Q2L,65,蓝色
187,6,女,广州,奔驰EQC,150,黑色
188,12,女,天津,大众朗逸,23,红色
189,2,女,北京,宝马X1,95,蓝色
190,8,男,天津,宝马X1,95,红色
191,11,女,杭州,奥迪Q2L,65,黑色
192,10,女,杭州,宝马3系,96,灰色
193,12,女,深圳,大众朗逸,23,蓝色
194,10,女,天津,大众朗逸,23,黑色
195,1,女,上海,宝马X1,95,黑色
196,4,女,杭州,大众朗逸,23,黑色
197,9,男,北京,大众朗逸,23,蓝色
198,8,男,深圳,奥迪A6L,87,红色
199,4,男,深圳,宝马X1,95,蓝色
200,3,女,北京,宝马X1,95,黑色
201,5,男,深圳,奥迪Q2L,65,黑色
202,9,女,广州,宝马3系,96,蓝色
203,10,女,北京,奥迪Q2L,65,灰色
204,5,女,天津,奥迪A6L,87,灰色
205,12,男,杭州,奥迪Q2L,65,黑色
206,9,男,北京,奥迪A6L,87,灰色
207,4,女,深圳,奥迪Q2L,65,红色
208,11,女,上海,奥迪A6L,87,红色
209,10,女,北京,大众朗逸,23,黑色
210,1,女,北京,宝马X1,95,蓝色
211,12,男,北京,宝马X1,95,灰色
212,12,女,广州,奔驰EQC,150,红色
213,4,女,上海,奔驰EQC,150,黑色
214,10,男,北京,宝马X1,95,灰色
215,11,女,上海,宝马3系,96,灰色
216,10,男,杭州,宝马3系,96,蓝色
217,6,男,天津,奔驰EQC,150,灰色
218,9,男,北京,奔驰EQC,150,蓝色
219,6,女,广州,奔驰EQC,150,蓝色
220,1,男,天津,奔驰EQC,150,黑色
221,8,女,广州,奥迪Q2L,65,蓝色
222,9,女,广州,奥迪Q2L,65,红色
223,11,女,广州,奔驰EQC,150,蓝色
224,8,女,广州,宝马3系,96,灰色
225,1,男,上海,奔驰EQC,150,红色
226,11,男,杭州,奥迪A6L,87,灰色
227,6,女,杭州,大众朗逸,23,蓝色
228,4,男,北京,宝马X1,95,灰色
229,10,女,杭州,奥迪Q2L,65,灰色
230,10,女,北京,奥迪A6L,87,黑色
